	SRR7124572	SRR7124582	SRR7124583	SRR7124584	SRR7124585	SRR7124586	SRR7124587	SRR7124590	SRR7124591	SRR7124601	SRR7124602	SRR7124605	SRR7124606	SRR7124607	SRR7124608	SRR7124636	SRR7124647	SRR7124674	SRR7124676	SRR7124678	SRR7124679	SRR7124680	SRR7124693	SRR7124695	SRR7124696	SRR7124697	SRR7124698	SRR7124699	SRR7124700	SRR7124701	SRR7124702	SRR7124703	SRR7124706	SRR7124717	SRR7124718	SRR7124720	SRR7124721	SRR7124722	SRR7124723	SRR7124724	SRR7124725	SRR7124726	SRR7124727	SRR7124757	SRR7124758	SRR7124760	SRR7124761	SRR7124762	SRR7124763	SRR7124764	SRR7124765	SRR7124766	SRR7124767	SRR7124768	SRR7124769	SRR7124770	SRR7124772	SRR7124789	SRR7124806	SRR7124807	SRR7124808	SRR7124812	SRR7124814	SRR7124827	SRR7124831	SRR7124841	SRR7124845	SRR7124849	SRR7124860
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanobrevibacter.s__Methanobrevibacter_smithii	0	0.65997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48136	0.02516	0	0	0	0	0	0	0	0	0	0	0.3068	0	0	0	0	0	0.01664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae.g__Methanosphaera.s__Methanosphaera_stadtmanae	0	0.14714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111	0	0	0	0	0	0	0	0	0	0.00323	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0.00081	0	0	0	0	0	0	0	0.00404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_cardiffensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_graevenitzii	0	0.00438	0	0	0	0	0	0.00839	0	0	0	0	0.01695	0	0.02059	0	0	0	0.01079	0.00468	0	0.00672	0	0.00747	0	0	0	0	0	0	7.00E-04	0	0	0	0	0.00174	0	0.00215	0	0.00223	0.00609	0	0	0	0	0	0	0	0.00082	0	0.01285	0	0	0	0.00027	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_johnsonii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_naeslundii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_odontolyticus	0.00901	0.00618	0	0.00178	0	0	0	0.00305	0	0	0	0	0.00361	0	0.00067	0	0.00655	0	0	0	0.00196	0.00729	0	0	0	0	0	0	0	0	0	0.00279	0	0	0	0.00111	0	0	0	0	0	0	0.00063	0	0	0.00058	0	0.00046	0	0.00141	0.00692	0	0	0	0	0	0	0	0	0.00165	0	0	0	0	0	0	0.00582	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_oris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00285	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00739	0.00768	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HMSC035G02	0	0.0019	0	0	0	0	0	0	0	0	0	0	0.00284	0	0.00042	0	0	0	0	0.00044	0	0.00702	0	0	0	0	0	0	0	0	0	0.00012	0	0.00028	0	0	0	0	0	0	0.00169	0	0	0	0	0.00012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00287	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_HPA0247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_ICM47	0	0.0051	0.00246	0	0.00183	0	0	0.00443	0	0	0	0	0.00495	0	0.0223	0	0.00573	0	0	0.01015	0	0.001	0	0.00031	0	0	0	0.00815	0	0	0	0	0	0	0	0	0	0	0	0.00196	0.00965	0	0	0	0	0	0	0.00033	0	0.00289	0.00203	0	0	0.00142	0	0	0	0.00041	0	0	0.00154	0	0	0	0	0	0.01279	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_sp_S6_Spd3	0	0	0	0	0	0	0	0	0	0	0	0	0.00046	0	0.01332	0	0	0	0	0	0	0.00161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00248	0	0	0	0	0	0	0	0	0	0	0.00047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
